ID,en name,zh-hans name,aliases,instance of,subclass of
Q1,universe,宇宙,"The Universe
space
outerspace
Cosmos
",Q1454986,
Q8,happiness,快乐,"欢乐
幸福
","Q331769
Q9415
Q5569988",
P16,highway system,公路系统,"network of routes
system of routes
transport network
routes system
part of network
road type
",Q23069616,
P19,place of birth,出生地,"birthplace
born in
POB
birth place
location born
born at
birth location
location of birth
location
","Q18608756
Q18635217
Q26935994",
P22,father,父亲,"dad
has father
man, the parent of that person
parent
daddy
papa
is son of
is child of
is daughter of
","Q22964231
Q26935994",
Q23,George Washington,乔治·华盛顿,"Father of the United States
华盛顿
",Q5,
Q24,Jack Bauer,杰克·鲍尔,,"Q15632617
Q215972
Q15773317",
Q31,Belgium,比利时,"Kingdom of Belgium
be
比利时王国
","Q3624078
Q43702
Q185441
Q6256
Q160016
Q6505795",
P31,instance of,性质,"is a
is an
rdf:type
type of
is a type of
",Q18616576,
Q33,Finland,芬兰,"Republic of Finland
Finlande
Finlandia
Finnland
Finnia
Land of Thousand Lakes
fi
Suomi
Suomen tasavalta
Republiken Finland
芬兰共和国
","Q3624078
Q6256
Q185441
Q160016
Q6505795
Q179164",
P35,head of state,国家元首,"chief of state
president
king
queen
emperor
monarch
state headed by
总统
主席
","Q22984475
Q22997934",
P36,capital,行政中心,"capital city
capital town
chef-lieu
principal place
county seat
administrative centre
首都
首府
",Q18615777,
P37,official language,官方语言,"language official
",Q18616084,
P39,position held,公职,"political office held
political seat
public office
office held
position occupied
","Q18608871
Q26935994",
Q42,Douglas Adams,道格拉斯·亚当斯,"Douglas Noël Adams
Douglas Noel Adams
",Q5,
Q45,Portugal,葡萄牙,"Portuguese Republic
PT
pt
葡萄牙共和国
葡国
","Q185441
Q3624078
Q6256
Q160016",
Q51,Antarctica,南极洲,,Q5107,
P53,noble family,贵族家族,"royal house
dynasty
house
","Q18608871
Q26935994",
P54,member of sports team,效力运动队,"member of team
team
team played for
played for
plays for
teams played for
of team
club played for
","Q18608871
Q21818626
Q26935994",
Q55,Netherlands,荷兰,"Holland
the Netherlands
NL
NED
Nederland
nl
尼德兰
尼德兰王国
","Q15304003
Q7275
Q1763527
Q185441
Q6256",
Q58,penis,阴茎,"鸡巴
阳具
小鸡鸡
鸡鸡
",,Q4620674
Q62,San Francisco,旧金山,"San Francisco, California
The City by the Bay
SF
SFO
The Golden City
Paris of the West
Baghdad by the Bay
San Francisco County
San Francisco County, California
San Fran
Frisco
City and County of San Francisco
旧金山市
圣弗兰西斯科
圣弗朗西斯科
三藩市
圣佛朗西斯科
","Q3301053
Q515
Q13212489",
Q68,computer,电子计算机,"Computer
计算机
电脑
",,"Q39546
Q2425052"
Q75,Internet,互联网,"the Net
internet
world wide web
www
英特网
因特网
网际网路
",Q1301371,
P81,connecting line,线路,"railway line
rapid transit line
","Q15720608
Q23069616
Q23310071",
Q83,MediaWiki,MediaWiki,,"Q6686945
Q341
Q44127",
P88,commissioned by,委托人,"client
commissioner
made for
built for
",Q18618644,
P92,main regulatory text,主要规管文献,"legally established by
governing text
governing document
",Q22984026,
Q99,California,加利福尼亚州,"State of California
CA
The Golden State
California, United States
加利福尼亚
加里福尼亚州
加里福尼亚
加州
",Q35657,
Q100,Boston,波士顿,"Beantown
The Cradle of Liberty
The Hub
The Cradle of Modern America
The Athens of America
The Walking City
Boston, Massachusetts
Boston, MA
The Hub of the Universe
Boston, Mass.
Bostonia
波士顿市
","Q1549591
Q21518270
Q515",
Q102,pneumonoultramicroscopicsilicovolcanoconiosis,火山肺矽病,"-koniosis
",Q101991,
P102,member of political party,所属政党,"political party
party
",Q18608871,
Q103,Supercalifragilisticexpialidocious,,,Q7366,
P105,taxon rank,分类级别,"taxonomic rank
rank
type of taxon
",Q18609040,
P108,employer,雇主,"workplace
employed by
works at
working for
","Q18608871
Q26935994",
P109,signature,签名,"autograph
","Q18608871
Q18610173
Q26940804",
P111,measured physical quantity,物理量,"unit of
measure of
measured quantity
",Q21077852,
P118,league,所属联盟,"division
sports league
",Q22964372,
P119,place of burial,埋葬地,"burial place
resting place
place of grave
buried in
grave at
location of burial
tomb
墓地
","Q18608756
Q18635217
Q22983697",
P121,item operated,营运,"fleet
aircraft in fleet
aircraft operated
equipment operated
facility operated
service operated
operator of
operated
operates
eq
item operated
acop
aircraft carried
",Q18616576,
Q125,November,11月,"Nov
十一月
",,Q18602249
Q129,Thursday,星期四,,Q41825,Q41825
P131,located in the administrative territorial entity,隶属行政区,"located in the administrative unit
located in administrative unit
is in administrative unit
is located in
is in the state of
is in the province of
is in the county of
is in the district of
is in the department of
is in the region of
is in the borough of
is in the city of
is in the town of
is in the village of
is in the municipality of
is in the territory of
is in the prefecture of
is in the voivodeship of
is in the Indian reservation of
is in the Indian reserve of
is in the ward of
is in the administrative region of
is in the settlement of
is in the local government area of
is in the rural city of
is in the shire of
happens in
is in the commune of
in administrative unit
in
is in the administrative unit
administrative territorial entity
city
town
state
Indian reservation
in the administrative unit
locality
is in the parish of
location (administrative territorial entity)
is in the principal area of
","Q18615777
Q18647515
Q18647519",
Q136,knight,马,"♞
♘
N
",,Q208440
Q140,lion,狮,"Panthera leo
African lion
",Q16521,Q729
P143,imported from,导入自,"from
source
",Q18608359,
Q144,dog,犬,,"Q502895
Q213907","Q622852
Q39201"
Q147,kitten,,,,Q146
Q148,People's Republic of China,中华人民共和国,"PRC
China
CN
cn
中国
","Q3624078
Q6256
Q6688521
Q849866
Q160016",
P149,architectural style,建筑风格,,Q18618644,
Q155,Brazil,巴西,"Federative Republic of Brazil
Brasil
República Federativa do Brasil
Federativa República do Brasil
Republic Federative of Brasil
Estados Unidos del Brazil
BR
br
","Q3624078
Q6814224
Q6256
Q859563
Q4209223
Q160016
Q6316828",
P155,follows,上一项,"succeeds to
previous is
before was
predecessor
preceded by
prequel is
sequel of
split from
上一版本
",Q15720608,
Q156,alcohol,醇,,,Q174211
Q163,Yorkshire,約克郡,,Q1138494,
P163,flag,旗帜,"flag description
","Q18608993
Q22997934",
Q166,Black Sea,黑海,,Q986177,
P166,award received,奖项,"prize received
awards
honorary title
recognition title
award
honours
honors
medals
awarded
award won
prize awarded
","Q18608871
Q18608993
Q18618644",
P169,chief executive officer,首席执行官,"CEO
chief executive
ceo
",Q22964476,
P171,parent taxon,父分类,"taxon parent
higher taxon
",Q18609040,
P175,performer,表演者/音乐艺术家,"band
musician
music group
musical artist
group
singer
",Q22965078,
Q177,pizza,比萨饼,,Q746549,"Q666242
Q26996677"
Q178,pasta,意式面食,,,Q736427
P178,developer,开发者,"developed by
","Q18618644
Q21126229",
Q183,Germany,德国,"FRG
BRD
Bundesrepublik Deutschland
Federal Republic of Germany
de
德意志
德意志联邦
德意志联邦共和国
","Q3624078
Q185441
Q6256
Q43702
Q160016
Q6505795
Q7270
Q619610
Q4209223
Q7275",
P183,endemic to,,"endemism
",Q18609040,
P189,location of discovery,发现地点,"findspot
location of discovered object
discovery place
place of discovery
",Q18635217,
P193,main building contractor,主要建筑承建商,"building contractor
built by
constructed by
builder
",Q22964966,
P195,collection,收藏于,"art collection
museum collection
",Q18618644,
Q197,airplane,固定翼飞机,"aeroplane
powered fixed-wing aircraft
plane
fixed-wing aircraft
fixed-wing aeroplane
fixed-wing airplane
","Q20027951
Q20026879","Q2875704
Q16000297"
P200,lake inflows,流入河流,"inflow
inflows
lake inflow
",Q24041622,
Q202,4,4,"four
IV
Ⅳ
ⅳ
","Q21199
Q50707
Q467511
Q50705
Q13366104
Q190890
Q975166
Q1136880
Q145134",
P206,located next to body of water,相接水体,"on lake
next to lake
located on body of water
On river
on bay
on harbour
on shore of
on the shore of
on the coast of
on coast of
",Q18615777,
Q207,George W. Bush,乔治·沃克·布什,"George Bush
George Walker Bush
Bush, George W.
Bush Jr.
President Bush
Dubya
GWB
Bush 43",Q5,
P208,executive body,行政机构,"executive branch
",Q22997934,
Q210,right angle,直角,"square angle
",Q11352,
Q216,Vilnius,维尔纽斯,"Vilna
Wilno
","Q515
Q5119
Q1363145",
Q217,Republic of Moldova,摩尔多瓦,"md
Moldova
","Q3624078
Q179164
Q123480
Q6256
Q160016
Q6505795",
Q218,Romania,罗马尼亚,"Roumania
Rumania
România
ro
","Q185441
Q3624078
Q6256
Q160016",
Q220,Rome,罗马,"The Eternal City
Roma
","Q5119
Q747074",
P220,ISO 639-3 code,ISO 639-3代码,iso 639-3,"Q19847637
Q20824104",
P225,taxon name,学名,"Latin name of a taxon (deprecated)
scientific name of a taxon
","Q18609040
Q21099935",
P227,GND ID,GND编号,"GND
GND identifier
Universal Authority File
Integrated Authority File
dbpedia:IndividualisedGnd
PND
DNB authorities
",Q18614948,
Q228,Andorra,安道尔,"Principality of Andorra
Principality of the Valleys of Andorra
ad
安道尔公国
","Q6256
Q3624078
Q160016
Q6505795
Q123480
Q208500",
P230,ICAO airline designator,ICAO航空公司代码,"International Civil Aviation Organization airline designator
","Q21745557
Q22964357",
P231,CAS registry number,CAS号,"CAS number
CASRN
",Q19833835,
Q233,Malta,马耳他,"Republic of Malta
mt
","Q3624078
Q112099
Q185441
Q179164
Q160016
Q6505795
Q6256",
Q244,Barbados,,"BB
bb
","Q202686
Q3624078
Q112099
Q6256
Q160016",
P246,element symbol,元素符号,"chemical symbol
formula
","Q21294996
Q21099935",
P248,stated in,声称自,"source of claim
originating source
stated by
来源
",Q18608359,
Q257,Mandelbrot set,曼德博集合,"M-set
","Q81392
Q36161",
P263,official residence,官邸,,"Q18608871
Q22984475",
Q277,Kilchoman,,,Q10373548,
Q278,Talisker,,,Q10373548,
Q281,whisky,威士忌,"whiskey
",Q199360,"Q154
Q56139"
Q284,Cognac,干邑白兰地,,,Q154
Q286,leather,皮革,,,"Q5135573
Q1074"
Q288,Tours,图尔,,Q484170,
Q291,pornography,,"porn
porno
XXX
",Q483394,
Q293,Eurymorion,,,Q16521,
Q297,Diego Velázquez,委拉斯开兹,"Velázquez
Diego Rodríguez de Silva y Velázquez
Diego Rodriguez de Silva y Velázquez
Diego Rodríguez de Silva Velázquez
Diego de Silva Velàzquez
Diego De Velázquez y Silva
Diego Rodríguez de Silva y Velasquier
Diego Velasques
Diego Rodríguez de Silva y Velasquiz
Diego Velásquez
Diego Valesquez
Diego Velasquex
Diego Velázquez y Silva
Diego de Silva Velázquez
Diego de Silva Velazquez
Diego Villasco
Diego de Velázquez y Silva
Diego de Silva Velaskes
Diego Velasque
Diego de Silva y Velasquez
Diego Rodriguez de Silva y Velazquez
Diego Velázquez de Silva
Diego Velasco Spagnolo
Diego Valaquez
Diego Valasquez
Don Diego Velasquez
Diego Belazquez
Diego Velascus
Diego Rodriguez De Silva Y Velazquez
Diego Valasques
Diego Velazquez
Diego de Silva
Diego Velasquez de Silva
Diego Rodríguez de Silva y Velazquez
Diego de Silva y Velázquez
Diego Velasmo
Diego Rodriguez de Silva y Velasquez
Diego Velasco
Diego Velasquez y Silva
Diego Velarques
Diego De Silva
Diego Rodriquez de Silva y Velazquez
Diego Velasquez
Diego De Silva Velaskes
Diego de Velázquez de Silva
Diego Rodríguez de Silva y Belasquez
Diego Rodriguez de Silva y Velásquez
Diego Rodriguez Velásquez
",Q5,
Q298,Chile,智利,"cl
Republic of Chile
República de Chile
","Q6256
Q3624078
Q160016",
P298,ISO 3166-1 alpha-3 code,国家代码 (ISO 3166-1 alpha-3),country code ISO 3166-1 alpha-3,Q19829908,
P301,category's main topic,分类的主话题,"main article in category
main category topic
main topic of category
category's main article
article with category's topic
page with category's topic
",Q18667213,
P305,IETF language tag,IETF语言标签,"language tag IETF
语言标签IETF
","Q19847637
Q20824104",
Q317,dictatorship,独裁政体,"dictature
",Q1307214,Q173424
Q323,Big Bang,大爆炸,"Big Bang theory
",Q1190554,
Q326,Eduardo Frei Ruiz-Tagle,爱德华多·弗雷·鲁伊斯-塔格莱,,Q5,
Q327,Brittany,,,Q209495,
